name,n,ms
mc:layout:adjacency,10,0
mc:layout:bfs_levels,10,0
mc:layout:specific_node_layout,10,0
mc:layout:levels_grouping,10,0
mc:layout:node_positioning,10,0
mc:layout:pin_start_end_nodes,10,0
mc:layout:build_node_map,10,0
mc:layout:build_edges,10,0
mc:layout:copy_edges,10,0
mc:layout:edge_curvature_pairs,10,0
mc:calculatePositionLayout,10,0.10000002384185791
mc:drawNodes,10,0.10000002384185791
mc:edgeRender:zoomed_edges,10,0
mc:edgeRender:join,10,0.10000002384185791
mc:edgeRender:edges_attrs,10,0.10000002384185791
mc:edgeRender:edges_titles,10,0.10000002384185791
mc:drawEdges,10,0.2999999523162842
