name,n,ms
fsm:buildBase:reset_graph,10,0
fsm:buildBaseHGraph:setStart,10,0
computeLevelsMap:adjacency_build,10,0
computeLevelsMap:bfs_levels_init,10,0
computeLevelsMap:bfs_levels_compute,10,0
computeLevelsMap:compute_unreachable_nodes,10,0
fsm:buildBaseHGraph:computeLevelsMap,10,0
computeNodePositionsWithBackbone:group_nodes_by_level,10,0
computeNodePositionsWithBackbone:find_straight_path,10,0
computeNodePositionsWithBackbone:node_positioning_loop,10,0
fsm:buildBase:computeNodePositionsWithBackbone,10,0
fsm:buildBase:setNodes,10,0
fsm:buildBase:setEdges,10,0
fsm:buildBase:snapshotBasePos,10,0
fsm:buildBaseHGraph,10,0.10000002384185791
fsm:runCollisionAvoidance,10,0
fsm:rerender:ZoomTransform,10,0
fsm:rerender:makeContext,10,0
fsm:drawEdges,10,0.19999992847442627
fsm:rerender:drawEdges,10,0.20000004768371582
fsm:drawNodes,10,0
fsm:rerender:drawNodes,10,0
fsm:totalRender,10,0.2999999523162842
