name,n,ms
mc:layout:adjacency,100,0.19999992847442627
mc:layout:bfs_levels,100,0.10000002384185791
mc:layout:specific_node_layout,100,0
mc:layout:levels_grouping,100,0
mc:layout:node_positioning,100,0
mc:layout:pin_start_end_nodes,100,0
mc:layout:build_node_map,100,0
mc:layout:build_edges,100,0.2999999523162842
mc:layout:copy_edges,100,0
mc:layout:edge_curvature_pairs,100,0.6000000238418579
mc:calculatePositionLayout,100,1.3000000715255737
mc:drawNodes,100,0.20000004768371582
mc:edgeRender:zoomed_edges,100,0.10000002384185791
mc:edgeRender:join,100,1
mc:edgeRender:edges_attrs,100,6.200000047683716
mc:edgeRender:edges_titles,100,5.399999976158142
mc:drawEdges,100,13.600000023841858
