name,n,ms
fsm:buildBase:reset_graph,100,0
fsm:buildBaseGraph:gWidth_1,100,2.299999952316284
fsm:buildBaseGraph:gWidth_2,100,0
fsm:buildBaseGraph:setStart,100,0
computeLevelsMap:adjacency_build,100,0.09999990463256836
computeLevelsMap:bfs_levels_init,100,0
computeLevelsMap:bfs_levels_compute,100,0.10000002384185791
computeLevelsMap:compute_unreachable_nodes,100,0
fsm:buildBaseGraph:computeLevelsMap,100,0.10000002384185791
computeNodePositionsWithBackbone:group_nodes_by_level,100,0
computeNodePositionsWithBackbone:find_straight_path,100,0.10000002384185791
computeNodePositionsWithBackbone:node_positioning_loop,100,0
fsm:buildBase:computeNodePositionsWithBackbone,100,0.19999992847442627
fsm:buildBase:setNodes,100,0
fsm:buildBase:setEdges,100,0.7999999523162842
fsm:buildBase:snapshotBasePos,100,0
fsm:buildBaseGraph,100,3.5
fsm:runCollisionAvoidance,100,0
fsm:totalRender,100,7.299999952316284
