name,n,ms
mc:layout:adjacency,750,3.5
mc:layout:bfs_levels,750,3.5
mc:layout:specific_node_layout,750,0
mc:layout:levels_grouping,750,0
mc:layout:node_positioning,750,1.7999999523162842
mc:layout:pin_start_end_nodes,750,0.10000002384185791
mc:layout:build_node_map,750,0.10000002384185791
mc:layout:build_edges,750,9.199999928474426
mc:layout:copy_edges,750,0
mc:layout:edge_curvature_pairs,750,28.199999928474426
mc:calculatePositionLayout,750,45.5
mc:drawNodes,750,2.299999952316284
mc:edgeRender:zoomed_edges,750,1.7000000476837158
mc:edgeRender:join,750,57.5
mc:edgeRender:edges_attrs,750,530.4000000953674
mc:edgeRender:edges_titles,750,467.89999997615814
mc:drawEdges,750,1110.7000000476837
