id,student_id,event_type,event_data,created_at
1,4a6a27a3-ccfe-4add-ba91-55e3f436a00b,drag_node,"{""x"":382.14285714285717,""y"":38.928571428571416,""nodeId"":""Cats""}",2026-03-16 13:08:27.74097+00
2,4a6a27a3-ccfe-4add-ba91-55e3f436a00b,drag_node,"{""x"":385.14285714285717,""y"":70.92857142857142,""nodeId"":""Cats""}",2026-03-16 13:08:27.720873+00
3,4a6a27a3-ccfe-4add-ba91-55e3f436a00b,drag_node,"{""x"":385.14285714285717,""y"":93.92857142857142,""nodeId"":""Cats""}",2026-03-16 13:08:27.708289+00
4,4a6a27a3-ccfe-4add-ba91-55e3f436a00b,drag_node,"{""x"":385.14285714285717,""y"":96.92857142857142,""nodeId"":""Cats""}",2026-03-16 13:08:27.706918+00
5,4a6a27a3-ccfe-4add-ba91-55e3f436a00b,drag_node,"{""x"":385.14285714285717,""y"":56.928571428571416,""nodeId"":""Cats""}",2026-03-16 13:08:27.75549+00
6,4a6a27a3-ccfe-4add-ba91-55e3f436a00b,drag_node,"{""x"":385.14285714285717,""y"":63.928571428571416,""nodeId"":""Cats""}",2026-03-16 13:08:27.775431+00
7,4a6a27a3-ccfe-4add-ba91-55e3f436a00b,drag_node,"{""x"":385.14285714285717,""y"":96.92857142857142,""nodeId"":""Cats""}",2026-03-16 13:08:27.707069+00
8,4a6a27a3-ccfe-4add-ba91-55e3f436a00b,drag_node,"{""x"":385.14285714285717,""y"":77.92857142857142,""nodeId"":""Cats""}",2026-03-16 13:08:27.755765+00
9,4a6a27a3-ccfe-4add-ba91-55e3f436a00b,drag_node,"{""x"":385.14285714285717,""y"":84.92857142857142,""nodeId"":""Cats""}",2026-03-16 13:08:27.745023+00
10,4a6a27a3-ccfe-4add-ba91-55e3f436a00b,drag_node,"{""x"":385.14285714285717,""y"":90.92857142857142,""nodeId"":""Cats""}",2026-03-16 13:08:27.707528+00
11,4a6a27a3-ccfe-4add-ba91-55e3f436a00b,drag_node,"{""x"":374.14285714285717,""y"":159.92857142857142,""nodeId"":""Cats""}",2026-03-16 13:08:27.823198+00
12,4a6a27a3-ccfe-4add-ba91-55e3f436a00b,drag_node,"{""x"":382.14285714285717,""y"":38.928571428571416,""nodeId"":""Cats""}",2026-03-16 13:08:27.839638+00
13,4a6a27a3-ccfe-4add-ba91-55e3f436a00b,drag_node,"{""x"":375.14285714285717,""y"":163.92857142857142,""nodeId"":""Cats""}",2026-03-16 13:08:27.841826+00
14,4a6a27a3-ccfe-4add-ba91-55e3f436a00b,drag_node,"{""x"":374.14285714285717,""y"":154.92857142857142,""nodeId"":""Cats""}",2026-03-16 13:08:27.845748+00
15,4a6a27a3-ccfe-4add-ba91-55e3f436a00b,drag_node,"{""x"":385.14285714285717,""y"":151.92857142857142,""nodeId"":""Cats""}",2026-03-16 13:08:27.879632+00
16,4a6a27a3-ccfe-4add-ba91-55e3f436a00b,drag_node,"{""x"":374.14285714285717,""y"":146.92857142857142,""nodeId"":""Cats""}",2026-03-16 13:08:27.872133+00
17,4a6a27a3-ccfe-4add-ba91-55e3f436a00b,drag_node,"{""x"":386.14285714285717,""y"":146.92857142857142,""nodeId"":""Cats""}",2026-03-16 13:08:27.886656+00
18,4a6a27a3-ccfe-4add-ba91-55e3f436a00b,drag_node,"{""x"":375.14285714285717,""y"":137.92857142857142,""nodeId"":""Cats""}",2026-03-16 13:08:27.887028+00
19,4a6a27a3-ccfe-4add-ba91-55e3f436a00b,drag_node,"{""x"":387.14285714285717,""y"":140.92857142857142,""nodeId"":""Cats""}",2026-03-16 13:08:27.900344+00
20,4a6a27a3-ccfe-4add-ba91-55e3f436a00b,drag_node,"{""x"":376.14285714285717,""y"":128.92857142857142,""nodeId"":""Cats""}",2026-03-16 13:08:27.903234+00
21,4a6a27a3-ccfe-4add-ba91-55e3f436a00b,drag_node,"{""x"":376.14285714285717,""y"":114.92857142857142,""nodeId"":""Cats""}",2026-03-16 13:08:27.90352+00
22,4a6a27a3-ccfe-4add-ba91-55e3f436a00b,drag_node,"{""x"":376.14285714285717,""y"":121.92857142857142,""nodeId"":""Cats""}",2026-03-16 13:08:27.903387+00
23,4a6a27a3-ccfe-4add-ba91-55e3f436a00b,drag_node,"{""x"":374.14285714285717,""y"":161.92857142857142,""nodeId"":""Cats""}",2026-03-16 13:08:27.916185+00
24,4a6a27a3-ccfe-4add-ba91-55e3f436a00b,drag_node,"{""x"":380.14285714285717,""y"":159.92857142857142,""nodeId"":""Cats""}",2026-03-16 13:08:27.91759+00
25,4a6a27a3-ccfe-4add-ba91-55e3f436a00b,drag_node,"{""x"":376.14285714285717,""y"":105.92857142857142,""nodeId"":""Cats""}",2026-03-16 13:08:27.915913+00
26,4a6a27a3-ccfe-4add-ba91-55e3f436a00b,drag_node,"{""x"":374.14285714285717,""y"":162.92857142857142,""nodeId"":""Cats""}",2026-03-16 13:08:27.838305+00
27,4a6a27a3-ccfe-4add-ba91-55e3f436a00b,drag_node,"{""x"":376.14285714285717,""y"":95.92857142857142,""nodeId"":""Cats""}",2026-03-16 13:08:27.916491+00
28,4a6a27a3-ccfe-4add-ba91-55e3f436a00b,drag_node,"{""x"":388.14285714285717,""y"":133.92857142857142,""nodeId"":""Cats""}",2026-03-16 13:08:27.920664+00
29,4a6a27a3-ccfe-4add-ba91-55e3f436a00b,drag_node,"{""x"":375.14285714285717,""y"":142.92857142857142,""nodeId"":""Cats""}",2026-03-16 13:08:27.91986+00
30,4a6a27a3-ccfe-4add-ba91-55e3f436a00b,drag_node,"{""x"":374.14285714285717,""y"":150.92857142857142,""nodeId"":""Cats""}",2026-03-16 13:08:27.845646+00
31,4a6a27a3-ccfe-4add-ba91-55e3f436a00b,drag_node,"{""x"":380.14285714285717,""y"":45.928571428571416,""nodeId"":""Cats""}",2026-03-16 13:08:27.924464+00
32,4a6a27a3-ccfe-4add-ba91-55e3f436a00b,drag_node,"{""x"":381.14285714285717,""y"":40.928571428571416,""nodeId"":""Cats""}",2026-03-16 13:08:27.924901+00
33,4a6a27a3-ccfe-4add-ba91-55e3f436a00b,drag_node,"{""x"":375.14285714285717,""y"":132.92857142857142,""nodeId"":""Cats""}",2026-03-16 13:08:27.887197+00
34,4a6a27a3-ccfe-4add-ba91-55e3f436a00b,drag_node,"{""x"":374.14285714285717,""y"":163.92857142857142,""nodeId"":""Cats""}",2026-03-16 13:08:27.922053+00
35,4a6a27a3-ccfe-4add-ba91-55e3f436a00b,drag_node,"{""x"":383.14285714285717,""y"":154.92857142857142,""nodeId"":""Cats""}",2026-03-16 13:08:27.921666+00
36,4a6a27a3-ccfe-4add-ba91-55e3f436a00b,drag_node,"{""x"":376.14285714285717,""y"":84.92857142857142,""nodeId"":""Cats""}",2026-03-16 13:08:27.944335+00
37,4a6a27a3-ccfe-4add-ba91-55e3f436a00b,drag_node,"{""x"":377.14285714285717,""y"":57.928571428571416,""nodeId"":""Cats""}",2026-03-16 13:08:27.946035+00
38,4a6a27a3-ccfe-4add-ba91-55e3f436a00b,drag_node,"{""x"":376.14285714285717,""y"":66.92857142857142,""nodeId"":""Cats""}",2026-03-16 13:08:27.945824+00
39,4a6a27a3-ccfe-4add-ba91-55e3f436a00b,drag_node,"{""x"":385.14285714285717,""y"":48.928571428571416,""nodeId"":""Cats""}",2026-03-16 13:08:27.941307+00
40,4a6a27a3-ccfe-4add-ba91-55e3f436a00b,drag_node,"{""x"":377.14285714285717,""y"":162.92857142857142,""nodeId"":""Cats""}",2026-03-16 13:08:27.947613+00
41,4a6a27a3-ccfe-4add-ba91-55e3f436a00b,drag_node,"{""x"":388.14285714285717,""y"":125.92857142857142,""nodeId"":""Cats""}",2026-03-16 13:08:27.947618+00
